state,county_fips,county_name,year,typical_home_value,median_household_income,home_value_to_income_ratio,zillow_months_available,zillow_data_status,home_value_source,home_value_year_method,income_source
FL,12035,Flagler County,2018,234391.59,53872,4.3509,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12035,Flagler County,2019,247029.35,54514,4.5315,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12035,Flagler County,2020,259413.36,57536,4.5087,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12035,Flagler County,2021,312062.56,62305,5.0086,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12035,Flagler County,2022,390430.51,69251,5.6379,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12035,Flagler County,2023,386584.96,72923,5.3013,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12035,Flagler County,2024,376166.23,77363,4.8624,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12037,Franklin County,2015,226970.75,40401,5.6179,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12037,Franklin County,2016,237023.28,40301,5.8813,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12037,Franklin County,2017,247608.65,41267,6.0002,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12037,Franklin County,2018,270514.65,42855,6.3123,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12037,Franklin County,2019,290408.56,46643,6.2262,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12037,Franklin County,2020,315474.08,48814,6.4628,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12037,Franklin County,2021,379075.5,52679,7.196,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12037,Franklin County,2022,453468.45,58107,7.804,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12037,Franklin County,2023,448934.39,62734,7.1562,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12037,Franklin County,2024,467993.85,64105,7.3004,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12039,Gadsden County,2015,95564.6,35567,2.6869,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12039,Gadsden County,2016,98700.07,38533,2.5614,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12039,Gadsden County,2017,102196.56,39830,2.5658,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12039,Gadsden County,2018,112370.34,40922,2.746,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12039,Gadsden County,2019,122377.35,41401,2.9559,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12039,Gadsden County,2020,133570.31,41135,3.2471,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
